id,bp,,,
4739,2.2,,,
4746,1.04,,,
4755,2.88,,,
4763,4.03,,,
4764,1.94,,,
4766,1.1,,,
4770,3.92,,,
4807,0.93,,,
4904,3.62,,,
4906,0.8,,,
4912,1.58,,,
4915,1.69,,,
4916,1.51,,,
4919,3.18,,,
4927,1.54,,,
4930,0.7,,,
4934,3.09,,,
4935,1,,,
4938,0.91,,,
4942,0.62,,,
4943,2.65,,,
4952,2.22,,,
4956,0.79,,,
4958,1.24,,,
4960,0.62,,,
4961,1.39,,,
4967,1.11,,,
4968,4.8,,,
4976,2.03,,,
4977,2.92,,,
4989,1.61,,,
4994,3.08,,,
4999,0.77,,,
5007,2.3,,,
5203,2.3,,,
5215,0.98,,,
5222,4.99,,,
5225,1.07,,,
5234,2.57,,,
5243,1.62,,,
5244,1.11,,,
5258,2.64,,,
5269,3.49,,,
5283,1.73,,,
5284,1.48,,,
5285,2.26,,,
5288,2.63,,,
5306,2.59,,,
5388,2.25,,,
5434,2.52,,,
5469,0.68,,,
5471,2.5,,,
5484,1.43,,,
5515,0.62,,,
5519,1.04,,,
5521,0.63,,,
5522,0.97,,,
5525,1.29,,,
5531,0.92,,,
5533,0.56,,,
5534,1.11,,,
5538,1.23,,,
5546,1.38,,,
5607,1.92,,,
5608,0.89,,,
5706,3.52,,,
5871,2.69,,,
5876,1.41,,,
5880,1.83,,,
5906,2.09,,,
5907,0.38,,,
6005,0.73,,,
6024,1.19,,,
6108,0.72,,,
6112,1.47,,,
6115,1.59,,,
6116,0.69,,,
6117,1.13,,,
6120,0.68,,,
6128,0.97,,,
6133,2.55,,,
6136,0.75,,,
6139,0.95,,,
6141,0.86,,,
6142,1.03,,,
6152,1.24,,,
6153,1.04,,,
6155,1.45,,,
6164,0.89,,,
6165,1.98,,,
6166,2.18,,,
6168,1.22,,,
6176,1.48,,,
6177,1.5,,,
6183,3.72,,,
6184,1.66,,,
6189,1.57,,,
6191,0.8,,,
6192,1.14,,,
6196,2.68,,,
6197,1.59,,,
6201,1.41,,,
6202,3.54,,,
6205,2.74,,,
6206,2.1,,,
6209,1.49,,,
6213,1.39,,,
6214,1.28,,,
6215,1.2,,,
6216,1.41,,,
6224,1.9,,,
6225,42.25,,,
6226,1.09,,,
6230,2.18,,,
6235,2.59,,,
6239,1.26,,,
6243,1.66,,,
6257,1.42,,,
6269,1.45,,,
6277,2.04,,,
6278,1.48,,,
6281,2.98,,,
6282,1.57,,,
6283,2.99,,,
6285,1.95,,,
6288,1.84,,,
6405,0.55,,,
6409,21.18,,,
6412,2.39,,,
6414,1.62,,,
6415,6.89,,,
6416,2.3,,,
6426,2.22,,,
6431,2.08,,,
6438,1.81,,,
6442,1.74,,,
6443,2.69,,,
6449,1.38,,,
6451,1.34,,,
6456,0.93,,,
6464,1.61,,,
6477,1.83,,,
6491,4.48,,,
6504,1.47,,,
6505,2.44,,,
6515,5,,,
6525,2.2,,,
6531,3.1,,,
6533,5.31,,,
6541,6.36,,,
6550,8.82,,,
6552,1.11,,,
6558,1.6,,,
6573,1.05,,,
6579,1.52,,,
6581,2.53,,,
6582,1.05,,,
6585,1.27,,,
6591,0.88,,,
6592,2.02,,,
6598,2.59,,,
6605,0.85,,,
6625,2.97,,,
6641,1.28,,,
6655,4.94,,,
6666,2.2,,,
6668,1.64,,,
6669,4.53,,,
6670,2.77,,,
6671,1.4,,,
6672,1.76,,,
6674,0.98,,,
6689,2.03,,,
6691,2.71,,,
6695,2.79,,,
6698,1.57,,,
6706,1.74,,,
6715,3.23,,,
6719,2.74,,,
6743,1.93,,,
6754,1.79,,,
6756,4.96,,,
6768,1.12,,,
6770,1.48,,,
6776,1.68,,,
6781,5.89,,,
6782,11.43,,,
6789,4.51,,,
6790,1.86,,,
6792,2.24,,,
6796,4.25,,,
6799,3.66,,,
6806,1.48,,,
6807,0.74,,,
6830,1.76,,,
6834,1.46,,,
6835,1.77,,,
6854,4.2,,,
8011,0.87,,,
8016,2.08,,,
8021,0.9,,,
8028,3.02,,,
8033,6.29,,,
8039,1.14,,,
8046,3.93,,,
8070,1.92,,,
8072,1.19,,,
8081,2.06,,,
8101,1.19,,,
8103,0.87,,,
8104,1.33,,,
8105,0.76,,,
8110,0.67,,,
8112,1.23,,,
8114,2.5,,,
8131,1.41,,,
8150,1.01,,,
8163,1.1,,,
8201,1.12,,,
8210,1.88,,,
8213,0.69,,,
8215,1.86,,,
8222,2.81,,,
8249,1.01,,,
8261,2.53,,,
8271,1.3,,,
8341,5.08,,,
8367,1.03,,,
8374,1.56,,,
8404,1.45,,,
8411,0.43,,,
8422,3.42,,,
8429,0.28,,,
8438,1.09,,,
8442,2.11,,,
8443,0.85,,,
8454,15.07,,,
8462,5.84,,,
8463,1.65,,,
8464,4.12,,,
8466,1,,,
8467,1.74,,,
8473,0.73,,,
8478,6.32,,,
8480,1.71,,,
8481,2.29,,,
8482,2.12,,,
8488,0.42,,,
8499,1.46,,,
8926,1.72,,,
8940,2.13,,,
8996,7.52,,,
9802,2.36,,,
9902,1.06,,,
9904,1.32,,,
9905,1.01,,,
9906,2.79,,,
9907,1.37,,,
9908,1.32,,,
9910,6.84,,,
9911,2.52,,,
9912,1.2,,,
9914,2.7,,,
9917,3.98,,,
9918,2.58,,,
9919,1.37,,,
9921,2.85,,,
9924,1.21,,,
9925,1.47,,,
9926,2.69,,,
9927,1.06,,,
9928,3.28,,,
9929,0.99,,,
9930,2,,,
9931,1.9,,,
9933,1.9,,,
9934,1.05,,,
9935,1.31,,,
9937,3.08,,,
9938,1.4,,,
9939,1.57,,,
9940,1.84,,,
9941,2.99,,,
9942,2.84,,,
9943,2.27,,,
9944,0.66,,,
9945,4.59,,,
9946,0.62,,,
9955,1.44,,,
9958,2.88,,,
,,,,
,,,,
