"Date","Price","Open","High","Low","Change %"
"Aug 18, 2022","1.185","1.185","1.185","1.185","0.00%"
"Aug 17, 2022","1.185","1.169","1.185","1.169","1.37%"
"Aug 16, 2022","1.169","1.170","1.170","1.169","-0.09%"
"Aug 15, 2022","1.170","1.170","1.170","1.170","0.60%"
"Aug 12, 2022","1.163","1.163","1.163","1.163","-1.86%"
"Aug 11, 2022","1.185","1.175","1.185","1.175","0.85%"
"Aug 10, 2022","1.175","1.175","1.175","1.175","0.00%"
"Aug 09, 2022","1.175","1.175","1.175","1.175","-3.29%"
"Aug 08, 2022","1.215","1.215","1.215","1.215","5.19%"
"Aug 05, 2022","1.155","1.155","1.155","1.155","0.00%"
"Aug 04, 2022","1.155","1.175","1.175","1.155","-1.70%"
"Aug 03, 2022","1.175","1.155","1.175","1.155","1.73%"
"Aug 02, 2022","1.155","1.135","1.155","1.135","1.76%"
"Aug 01, 2022","1.135","1.135","1.135","1.135","1.79%"
"Jul 29, 2022","1.115","1.145","1.145","1.115","-2.62%"
"Jul 28, 2022","1.145","1.185","1.185","1.145","-3.38%"
"Jul 27, 2022","1.185","1.195","1.195","1.185","-0.84%"
"Jul 26, 2022","1.195","1.215","1.215","1.195","-1.65%"
"Jul 25, 2022","1.215","1.215","1.215","1.215","-0.82%"
"Jul 22, 2022","1.225","1.255","1.255","1.225","-2.39%"
"Jul 21, 2022","1.255","1.245","1.255","1.245","0.80%"
"Jul 20, 2022","1.245","1.255","1.255","1.245","-0.80%"
"Jul 19, 2022","1.255","1.255","1.255","1.255","0.00%"
"Jul 18, 2022","1.255","1.255","1.255","1.255","0.80%"
"Jul 15, 2022","1.245","1.235","1.245","1.235","0.81%"
"Jul 14, 2022","1.235","1.235","1.235","1.235","0.00%"
"Jul 13, 2022","1.235","1.245","1.245","1.235","-0.80%"
"Jul 12, 2022","1.245","1.245","1.245","1.245","0.00%"
"Jul 11, 2022","1.245","1.245","1.245","1.245","5.06%"
"Jul 08, 2022","1.185","1.195","1.195","1.185","-0.84%"
"Jul 07, 2022","1.195","1.145","1.195","1.145","4.37%"
"Jul 06, 2022","1.145","1.255","1.255","1.145","-8.76%"
"Jul 05, 2022","1.255","1.255","1.255","1.255","0.00%"
"Jul 04, 2022","1.255","1.245","1.255","1.245","0.80%"
"Jul 01, 2022","1.245","1.205","1.245","1.205","3.32%"
"Jun 30, 2022","1.205","1.205","1.205","1.205","0.00%"
