,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Renewable energy usage rate of listed companies,Greenhouse gas emission intensity,Close Price,Turnover ratio％,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,Dividend Payout Ratio,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Proportion of supervisors with doctoral degrees,Number of general manager changes in the month,Average attendance of Chairman of the Board,Employee turnover rate,Percentage of directors and supervisors with masters degrees,Directors average hours of study,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Number of directors and supervisors with financial experience,Sales percentage to related parties,equity of stock holdings (Major shareholder),Average attendance of the Board of Directors,Employee bonus cash,tockholding of Directors and Supervisors,Directors liability insurance coverage to revenue percentage,Managers shareholding,Reinvestment to assets ratio,Directors liability insurance coverage to net value percentage,Percentage of directors and supervisors with a bachelors degree,Employee bonus to net income before tax ratio,Total social responsibility events,Number of Underwriting Insurance Companies,Management Internalization ratio,Number of Board Meetings,Directors liability insurance coverage to total assets percentage,Employee bonus shares,Directors salary,Internal audit variation in the current month,Directors liability insurance coverage,company age,A,F,G,M
1441,0.0946297079453836,0.1902188178234465,0.285611206871116,0.3896052732124177,0.2846991541458218,0.2418708012478895,0.1548503928869392,-0.0102764111212123,-0.0531047640191446,-0.1401251723800949,0.0087050058672978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32,1.79,0.68,26.0,14.0,0.0,1.0,0.68,101.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,14.0,99.32,242.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15473,1.47,22.71,0,108460,0,89351,-6.37,-52465,115979,1500,-5016,383386,0,-3.56,71981,217,-1.18,6.69,699860,1194480,52.52,97917,0,14.12,0.0,0.0,1584558,-10.59,-1.41,-3.62,13740,4827,4044,181255,-47743,-21959,-147152,175072,65.46,1310237,61.07,-3.87,750034,857673,1.15,-6968,0,0,100,29,57.14,7.29,0,35.93,2,0,24.47,94.51,0,27.17,1.94,0.0,13.99,3.66,57.14,0,0,1,66.67,13,1.26,0,0,0,30.0,31.0,0,1,0,0
1442,0.0266618587613369,0.0002439772789286,0.0202101659957291,0.0531348635583479,0.0133883571154089,0.0330056183720869,0.0355610672493643,-0.013084647681602,0.0065326135750759,0.0090880624523533,-0.0042259788700629,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.36,12.27,1729.0,33.0,2.0,1.0,12.35,366.0,33.0,0.0,0.0,0.01,0.0,0.0,1.0,35.0,5.0,0.0,2.0,1.0,35.0,87.52,28024.32,1.89,0.0,0.13,0.29,81.04,4.0,0.08,0.0,-1061640,1.26,6.71,0,81474,25.49,5641719,15.28,5563,95139,392,-1803,13111192,85.31,3.77,1018668,655,-39.97,24.34,1029683,6958009,238.41,123388,1.78,40.56,2.63,2.63,712379,14.14,1.53,15.71,0,0,325010,6026534,207953,15920,879757,320798,508.66,2655841,61.05,15.43,1361024,13509281,1.1,0,28.57,0,100,5,28.57,8.07,0,11.63,2,0,35.84,100.0,5.3,4.23,2.42,1.71,4.53,1.43,28.57,1.02,0,1,0,6,0.59,0,5.3,0,83.34,31.0,0,1,0,0
1443,-0.034935942147987,-0.0217534129939508,0.016375558484002,0.0879243778008695,0.0710286053758244,0.0862117113417899,0.0794144338765751,-0.0518317145730321,-0.0366486086070667,-0.0434458860722815,-0.0034734800138818,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.19,18.33,0.0,59.0,0.0,2.0,18.33,135.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,2.0,64.0,81.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115376,1.79,30.14,-9056,112868,21.09,3424553,22.04,753974,183102,0,102825,65985,0,16.68,158565,2186,9.49,32.73,216463,2334667,26.71,34384,6.26,3.52,0,0,5374134,11.16,2.45,14.38,0,0,0,3864314,70922,-249416,-793707,106349,52.53,1216178,84.49,12.66,321769,638871,1.15,-5261,0,0,100,13,11.11,0.0,0,158.17,0,2,42.78,82.22,0,17.93,9.67,0,24.53,7.11,11.11,0,0,1,33.33,5,1.31,0,0,0,83.86,30.0,0,1,0,0
1444,0.0904465955573761,0.1037671024780335,0.1850833482767485,0.2910680034520507,0.1837083062310185,0.1503274919180938,0.1827789893126505,-0.0169131016636561,-0.0502939159765808,-0.0178424185820241,0.0046771033051858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4003,10.2,3.39,24.02,20784.0,-2243.0,-500.0,-3.0,25.0,957.0,-3199.0,35.0,0.0,0.54,0.13,0.0,-5.0,-2743.0,1293.0,0.0,-2784.0,-5.0,-11208.0,74.76,214513.74,8.68,0.0,0.24,6.22,13345.18,304.0,0.98,0.0,-428782,1.24,38.16,-28470,678377,0.0,466667,1.69,465894,847983,67013,136643,2523741,44.26,2.26,27906,12885,-8.6,11.18,4265753,13067172,28.72,455940,9.69,11.81,0.0,0.0,12329095,3.94,1.5,2.91,0,17312,8533,923567,81045,-163809,447723,684780,106.75,4985976,33.48,2.63,4802509,5322296,0.43,10664,0,0,92.31,4,22.22,6.0,0,44.76,1,10,18.84,85.47,9.07,19.56,1.54,0.08,29.78,1.4,22.22,1.31,0,1,7.14,13,0.81,0,9.07,0,167.16,30.0,0,1,0,0
1445,0.0259223686193995,0.0846945299051168,0.1095287295592587,0.2014279606440137,0.1014294317224276,0.1117617488441668,0.0594321930810281,-0.0740761603021866,-0.0637438431804474,-0.116073398943586,0.0019341970323829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.27,16.78,3590.0,38.0,1.0,1.0,16.94,131.0,38.0,0.0,0.0,0.02,0.0,0.0,1.0,39.0,5.0,0.0,1.0,1.0,39.0,83.02,38840.57,10.99,0.0,0.04,0.14,54.1,5.0,0.16,0.0,-175269,0.99,288.94,0,169735,0,0,-5.35,68697,152703,0,33866,390699,0,1.27,-50077,434,-133.92,5.3,530304,1600659,33.68,59642,0,9.08,1.63,1.63,1095248,-4.57,1.05,-2.11,0,4918,739,163333,-29956,-5167,127390,27017,620.68,130875,15.42,-2.42,559990,812309,0.1,0,0,0,100,2,14.29,5.14,0,12.2,1,0,32.52,98.7,0,13.4,11.13,0.77,10.32,8.48,14.29,0,0,1,0,7,6.95,0,0,0,139.63,29.0,1,0,0,0
1446,0.0709125939957445,0.0440121431859354,0.0611999550312491,0.1133526410700948,0.0380370263271374,0.041595171291149,0.061763384723993,-0.0044030207472129,-0.0008448757832013,0.0193233376496426,-0.0080108582220866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.13,3.68,4048.0,10.0,1.0,1.0,3.99,138.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,11.0,95.56,104637.56,11.76,0.0,0.46,0.0,0.0,0.0,0.31,0.0,-96781,2.64,81.21,0,247608,100.43,2105201,6.5,-2261,11932,0,60105,3136881,0,4.38,-1053,412,-26.58,33.56,75128,4241437,195.88,30599,0.16,18.97,0.97,0.97,582317,-2.48,1.69,7.73,0,0,0,2107747,7348,76122,114698,16645,960.5,364079,60.59,7.72,113075,3496995,0.7,-389,11.11,0,14.29,8,11.11,0.0,0,26.03,0,0,48.56,76.19,0,9.53,44.33,1.11,10.26,5.59,11.11,0,0,1,0,7,1.97,0,0,0,85.65,29.0,1,0,0,0
1447,0.0936848462930857,0.1154546324798,0.2079466068166913,0.3114101962388352,0.2066836113745749,0.1410225374950462,0.1845341269078524,-0.0110417385711746,-0.0767028124507033,-0.0331912230378971,0.0074511816029772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95,4.05,29.08,20433.0,3410.0,-212.0,3.0,29.46,914.0,10154.0,40.0,0.0,0.12,0.14,0.0,-5.0,3198.0,268.0,0.0,-1865.0,3.0,8777.0,70.29,207127.28,8.94,0.0,0.24,1.31,2716.69,0.0,0.39,0.0,68172,1.22,82.0,-330507,690282,56.11,1725000,3.17,374452,2736608,6377,240687,2611627,0,4.67,-500222,10194,1.24,6.29,11251887,12299850,47.83,374566,21.8,10.08,0.0,0.0,11239308,9.28,2.76,2.81,0,56789,362,2104460,380429,-288826,734504,2085364,137.3,5486419,40.44,2.2,12007204,7532787,0.43,51395,0,0,92.31,4,44.44,6.0,0,47.71,2,5,20.05,95.73,0.75,22.07,0.69,0.11,28.42,1.58,44.44,0.23,0,1,8.33,13,0.85,0,0.75,0,167.16,28.0,0,1,0,0
1451,0.0610120697710596,0.0629074606988756,0.1365019130848646,0.2414681440417111,0.161275826796447,0.1672136316397353,0.1755139673951511,-0.0191802474742045,-0.0132424426309162,-0.0049421068755003,0.0110773104523598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5821,0.0,17.7,0.66,33.32,853.0,135.0,1.0,1.0,33.36,198.0,135.0,0.0,0.0,0.0,0.0,0.0,1.0,136.0,1.0,3.0,1.0,1.0,136.0,66.57,15086.58,1.72,0.0,0.07,0.12,17.69,0.0,0.04,0.0,242162,0.55,255.59,0,1517532,41.07,210000,1.67,258833,1583535,0,447564,2354141,85.28,7.01,-28092,4826,19.79,7.09,3337580,4227300,51.31,194972,17.62,4.15,2.81,2.81,3741793,4.24,5.64,2.58,0,9657,30562,639770,59862,183230,5016027,346975,473.6,1223909,19.54,2.12,3592414,5796462,0.36,-14159,0,0,90.91,37,11.11,6,0,22.06,2,0,47.89,94.95,2.9,9.26,0.36,0.01,17.75,0.38,11.11,1.01,0,1,22.22,11,0.31,0,0,0,28.49,28.0,0,1,0,0
1452,0.0957797163120946,0.1309135740989629,0.2288878374931585,0.3327462655219473,0.2322459963393719,0.2177536359547351,0.2167814980772107,-0.0047205528704808,-0.0192129132551176,-0.020185051132642,0.0077399892819908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389,19.15,4.08,17.14,4907.0,148.0,1.0,1.0,17.15,133.0,148.0,60.0,0.0,0.14,1.25,0.0,1.0,149.0,47.0,0.0,1.0,1.0,149.0,81.45,95645.77,14.8,0.0,1.4,0.96,916.11,3.0,0.01,0.0,-98661,1.29,969.56,0,521047,19.05,0,11.95,178322,254395,682,57228,241551,75.45,11.27,-801,1421,-55.46,19.3,810416,3627731,17.62,73804,11.8,8.52,2.56,2.56,929547,15.47,10.36,27.45,0,5279,2788,56976,120031,55519,1156648,29440,1191.63,177900,7.7,24.21,1004251,2119910,0,0,0,0,100,3,22.22,6.33,0,10.52,1,0,6.63,92.06,17.05,11.41,2.64,5.99,9.71,1.96,22.22,4.26,0,1,0,7,1.73,0,8.53,1,55.42,28.0,0,1,0,0
1453,0.079442813359999,0.1122791842780991,0.2086634770083535,0.3133715381909246,0.2176740544746107,0.2405351591052841,0.2171520192579165,-0.0162546703563148,0.0066064342743585,-0.016776705573009,0.0016094492962165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.77,6.32,971.0,27.0,0.0,1.0,6.32,101.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,27.0,93.42,7901.22,3.86,0.0,0.26,0.0,0.0,0.0,0.0,0.0,-25234,0.7,359.55,0,14040,65.87,0,-78.7,0,0,0,0,787820,0,0.34,24484,71,-31.01,14.72,13792,900495,60.71,15107,0.07,0.0,0,0.0,229865,11.02,0.31,26.94,0,0,40706,40806,-12727,8645,275509,6594,1462.16,81382,8.61,26.92,16172,1189935,0.96,0,0,0,100,2,14.29,1.29,0,8.07,2,0,46.05,94.64,1.14,27.35,62.95,0.01,7.38,1.99,14.29,1.02,0,1,50,8,1.47,0,1.14,0,27.88,27.0,0,1,0,0
1454,0.0765069758551148,0.1254927688735934,0.1646053984369104,0.2663997905333041,0.2030292991750072,0.1753323183394401,0.1577958459798163,0.0131364844968179,-0.014560496338749,-0.0320969686983728,0.0097562296546566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,0.27,8.79,2428.0,7.0,2.0,1.0,9.14,130.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,48.0,2.0,1.0,9.0,90.67,21351.35,7.48,0.0,0.19,0.0,0.0,0.0,0.34,0.0,-58438,0.91,160.95,-77032,150276,0.0,0,-1.6,174888,199033,5085,17797,417505,1264.7,1.36,59505,972,-12.76,7.41,727767,1408688,39.83,70619,0.0,9.77,1.84,1.84,857128,8.27,1.03,-0.94,0,4730,911,56403,-12553,-57276,66457,68175,263.16,457987,24.94,0.4,786009,1205252,0.42,0,0,0,100,8,9.09,2.45,0,0.0,0,0,29.47,96.97,0.0,18.22,8.89,0.03,0.0,8.67,9.09,0.0,0,1,40.0,6,6.82,0,0.0,0,140,27.0,1,0,0,0
1455,0.0923474905530344,-0.0144882539312189,0.0708399364414794,0.1431114368883601,0.0838479032409185,0.0983051466141318,0.0107172539794657,0.0330839569055929,0.047541200278806,-0.0400466923558599,0.0178158852632399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,18.95,12.03,19.31,23842.0,-9889.0,-12.0,-1.0,19.33,532.0,-9889.0,182.0,0.0,1.93,0.36,0.0,-1.0,-9901.0,2572.0,0.0,-12.0,-1.0,-9901.0,80.16,463481.33,17.94,0.0,0.51,10.79,49998.91,0.0,0.01,0.0,-338710,1.69,85.6,0,56652,16.94,0,8.97,99369,1308392,410,73231,2305003,46.23,14.21,585928,99,-11.86,14.67,4357696,12707343,48.09,291176,5.09,8.01,1.26,1.26,5937856,22.64,10.16,19.07,0,27064,69068,336073,458286,-260752,1592504,676062,166.97,2855104,29.81,18.1,5107158,4767025,0.4,-212,0,0,100,7,20,5.4,0,12.19,1,2,20.09,100.0,21.15,21.73,0.75,8.23,8.56,1.15,20,2.11,0,1,10.0,6,0.78,0,31.72,0,84.41,27.0,0,1,0,0
1456,0.0910820991139942,0.0626039751791113,0.0921337127614054,0.1686654540458982,0.0610674303425381,0.0236232587910185,0.0470828267940617,-0.0165159245893658,-0.0539600961408854,-0.0305005281378422,-0.0036177614306109,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.024,14.6,1.22,13.44,968.0,99.0,0.0,1.0,13.44,94.0,99.0,0.0,0.0,0.04,0.0,0.0,0.0,99.0,10.0,0.0,0.0,2.0,144.0,86.46,14623.48,4.13,0.0,0.11,1.03,151.07,0.0,0.0,0.0,672083,1.13,10.43,0,70295,4.29,1869856,27.72,0,178403,0,0,3665376,30.94,22.88,-672864,53,26.7,35.5,895883,1827540,237.13,108146,0.36,19.17,0.0,0.0,2242750,14.8,5.1,24.04,0,0,5347,2210393,384965,-32193,665365,15010,163.11,2517149,74.47,23.96,1388994,4105734,1.99,0,9.09,0,100,0,36.36,3.82,0,126.88,2,0,34.36,100.0,2.32,47.63,3.81,0,32.4,5.16,36.36,0.51,0,1,25,11,1.26,0,4.64,0,90,27.0,0,1,0,0
1457,0.0637706507064028,0.0740410623311176,0.142798849159433,0.246235040989237,0.1452022224228181,0.1408851808935041,0.1268812069972571,-0.0372621678600161,-0.0415792093893301,-0.0555831832855771,0.0089647766057642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,14.8,1.38,23.09,3044.0,125.0,1.0,1.0,23.1,302.0,125.0,12.0,0.0,0.21,0.32,0.0,1.0,126.0,159.0,0.0,1.0,1.0,126.0,76.5,45558.63,4.04,0.0,0.4,5.22,2379.71,132.0,0.01,0.0,433067,1.3,59.38,-343353,422316,80.55,7777922,7.94,93119,559437,0,45990,765491,90.22,4.42,88122,344,18.65,13.76,1771580,5912281,16.98,119614,2.8,7.81,7.65,7.65,15985019,11.33,1.91,14.94,0,0,0,8141539,163031,-578589,1280208,315893,98.28,2322037,57.28,14.52,2054225,2282092,0.68,0,11.11,0,100,0,33.33,6.0,0,146.44,1,0,40.43,80.95,1.16,10.26,2.07,0.37,62.56,1.09,33.33,0.55,0,1,0,7,0.46,0,4.3,0,85.86,26.0,0,1,0,0
1459,0.0926938876436015,0.1837597944565593,0.2793222824888114,0.3831154789626971,0.3195137594992224,0.3700765660053502,0.2788134454442469,0.0290921681801267,0.0796549746862546,-0.0116081458748487,0.0082418560726214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1885,12.15,0.42,2.08,0.0,52.0,0.0,2.0,2.08,359.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,147.0,97.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34001,1.73,118.46,-513573,731672,230.97,1083655,0.76,-236582,185788,0,31889,330422,11.24,10.78,110329,1818,1.66,7.19,1181943,5397351,15.81,81873,0.11,12.78,0.0,0.0,3569206,0.41,5.34,23.75,86079,0,195,1209782,9644,165156,62452,53540,144.17,2050683,49.96,23.73,1273460,2956487,0.68,20953,0,0,100,0,22.22,0,0,34.78,1,0,43.15,96.3,0,14.96,3.4,1.61,17.4,2.43,22.22,0,0,1,16.67,9,1.29,0,0,0,83.85,26.0,0,1,0,0
1460,0.0956237906169934,0.1323199828308003,0.2288448230878866,0.2547844483933075,0.1812685010137532,0.2224486349998056,0.1341788496141692,0.022107843237439,0.0632879772234915,-0.0249818081621449,0.0088383539048915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.36,1.56,4.47,80.0,-81.0,0.0,-4.0,4.47,510.0,-1660.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,-1.0,-81.0,95.53,753.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103546,1.43,28.12,-332836,594623,0.0,1906667,3.68,-308012,1189791,0,-143987,5090909,0,-2.24,99389,2240,1.43,20.76,3445006,5327765,168.74,742155,37.62,6.87,0,0.0,6312914,3.84,-0.62,2.2,0,103503,484374,2640679,160132,-355835,316774,701262,100.69,7247564,72.65,1.37,4347567,7297340,0.6,-668,9.09,0,100,20,18.18,7.36,0,0.09,0,0,18.72,90.91,3.76,28.68,2.25,0.61,0.03,3.31,18.18,2.07,0,1,0,6,1.54,0,0,0,225.5,25.0,0,1,0,0
1463,0.0207176906355945,0.0085946526834956,0.0322379616684921,0.0952905230708523,0.0589415122845222,0.0539021618644109,0.0576647795485682,-0.0156313201507355,-0.0206706705708469,-0.0169080528866896,-0.0027591192826137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65,0.53,19.29,2123.0,-132.0,1.0,-4.0,19.48,173.0,-709.0,0.0,0.0,0.0,0.0,0.0,2.0,-131.0,0.0,0.0,2.0,-4.0,-707.0,80.48,26844.27,4.9,0.0,0.04,0.0,0.0,0.0,0.19,0.0,-42280,1.23,322.42,-108791,324455,29.09,0,3.25,-29991,74921,0,11638,257635,85.91,2.04,-2177,865,-13.41,20.07,177197,2685654,14.54,37266,25.58,6.31,1.94,1.94,1271235,6.42,1.73,20.99,0,5264,839,119126,7214,-23630,330377,72761,460.2,315200,15.96,15.62,221677,1450550,195.6,0,0,0,100,9,54.55,3.64,0,34.74,1,19,30.75,97.73,0.91,13.95,6.83,0.06,29.2,1.37,54.55,1.04,0,1,0,4,1.14,0,2.73,0,31.2,24.0,0,1,0,0
1464,0.0914579208534409,0.083651949491698,0.1010584474751793,0.1683808789044209,0.0774872787381618,0.0876746975027478,0.1112489580646714,0.0005643206871818,0.0107517394517678,0.0343260000136914,-0.0020594867029876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.54,15.35,0.69,15.34,2276.0,-88.0,2.0,-3.0,15.38,385.0,-1156.0,18.0,0.0,0.04,0.74,0.0,2.0,-86.0,39.0,0.0,3.0,-3.0,-1154.0,83.72,35880.91,2.37,0.0,0.9,1.71,614.83,38.0,0.04,0.0,205250,1.51,75.63,0,1230301,81.22,4060408,5.33,-580872,1817745,27410,-144984,3576587,0.0,-0.66,165802,11123,2.47,16.63,4229152,7075996,99.53,582950,10.65,5.51,1.63,1.63,7402921,-2.34,-0.2,2.4,0,116129,6722,4180739,270544,-354178,623604,877405,126.45,8309032,69.74,2.15,5072447,10506446,0.69,-10053,0,0,100,6,57.14,6.86,0,17.73,1,11,37.25,100.0,7.06,8.68,0.27,0.04,5.37,0.52,57.14,4.23,0,1,25.0,11,0.15,0,2.65,0,28.33,23.0,1,0,0,0
1465,0.059184111027439,0.0621336325726698,0.0619669328565357,0.1155996459451064,0.0204433768092587,0.0617740660392455,0.0561878577317942,-0.0359721581084086,0.0053585311215781,-0.0002276771858731,0.0005017372173873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.28,3.1,4926.0,7.0,0.0,1.0,3.1,104.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,7.0,96.87,58996.24,19.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,-43068,0.81,354.1,0,124517,0.0,0,-14.56,-56448,32477,586,-6598,169226,-32.41,-1.92,1083,4532,-34.63,4.4,156886,1362432,12.01,31123,0.0,9.02,2.28,2.28,1237595,-15.95,-1.71,-20.88,0,2919,0,70711,-23895,137084,396553,9668,511.66,124378,10.41,-15.79,164114,636392,0.0,-5326,0,0,100,19,14.29,13.57,0,16.59,1,0,27.83,97.62,0.0,16.74,50.75,0.01,13.17,4.96,14.29,0.0,0,1,50.0,6,4.44,0,0.0,0,83.28,23.0,1,0,0,0
